Category,Title,Date,Venue,Locations,Link,Image Src,Image Alt,Description
Exhibition,Want the World to Know by Michael Forbes,21 Jul 2023 – 28 Aug 2023,Saatchi Gallery,"London, United Kingdom",https://www.artrabbit.com/events/want-the-world-to-know-by-michael-forbes,img.artrabbit.com/events/want-the-world-to-know-by-michael-forbes/images/RA6Py1pPN4QL/350x526/Michael-Forbes-Want-the-World-to-Know.jpg,Want the World to Know by Michael Forbes,Michael Forbes
Exhibition,"Dawit Abebe የእጃችንን ""Hands Matter""",21 Jul 2023 – 26 Aug 2023,Kristin Hjellegjerde | London Wandsworth,"London, United Kingdom",https://www.artrabbit.com/events/dawit-abebe-የእጃችንን-hands-matter,img.artrabbit.com/events/dawit-abebe-የእጃችንን-hands-matter/images/wWW2I3IlnqxV/350x271/dawitabebe.jpg,Dawit Abebe የእጃችንን Hands Matter,"A balled-up fist, an outstretched palm, a boxing glove, golden rings, bracelets and a smouldering cigar. The Ethiopian artist Dawit Abebe uses the body – and associated objects or props – as a way of investigating social, political and cultural behaviours. His latest series, titled Hands Matter (የእጃችንን - Yejachinin) after an Ethiopian expression that emphasises the importance of our actions, examines how hands are used to express our thoughts and desires as well as to manipulate and assert power. Presented in a solo exhibition at Kristin Hjellegjerde Gallery, London, these bold, multilayered works reflect on issues inherent to time, the environment, identity and heritage. "
Talk,SALON NOIR: Art in the Time of Digital Delirium,21 Jul 2023 ,Bermondsey Project Space,"London, United Kingdom",https://www.artrabbit.com/events/salon-noir-art-in-the-time-of-digital-delirium,img.artrabbit.com/events/salon-noir-art-in-the-time-of-digital-delirium/images/Uloso50edjZ4/350x197/26485099148-207698af41-h.jpg,SALON NOIR: Art in the Time of Digital Delirium,"In conversation: Vanya Balogh and Martin Sexton The topic, ‘Art In The Time Of Digital Delirium’,  considers digital imagery within the field of virtual art and erotica. It will explore the politics of deception, independent virtual curation, the rise and fall of NFTs and some other issues, touching on the current digital zeitgeist. The speakers’ conversation will be in open flow and will raise the question as to whether contemporary, ultra modernist art is reaching its extinction point?"
Exhibition,Bill Jacklin: Towards the Light,21 Jul 2023 – 16 Sep 2023,Marlborough,"London, United Kingdom",https://www.artrabbit.com/events/bill-jacklin-towards-the-light,img.artrabbit.com/events/bill-jacklin-towards-the-light/images/581WibYYs4Lg/350x244/Screenshot-2023-07-04-130726.jpg,Bill Jacklin: Towards the Light,"Marlborough London is delighted to present 'Bill Jacklin: Towards the Light', a survey spanning seven decades of Bill Jacklin’s artistic career. From early installation pieces and two-dimensional abstract ‘system works’ to figurative paintings and monotypes, this retrospective will showcase the artist’s broad and prolific practice from the 1960s right up to the present day. Born in London in 1943, Bill Jacklin attended Walthamstow School of Art from 1960 to 1961 to study graphic design, before enrolling in the Royal College of Art in 1964. During this time Jacklin experimented with printing techniques which also informed the conceptualisation of his 1963 installation piece Invitation Card, a wooden box encasing figures of saluting soldiers which – just like an aquatint print – had been exposed to varying degrees of acid."
Exhibition,FALUA,21 Jul 2023 – 23 Jul 2023,Slash Arts Gallery Houseboat,"London, United Kingdom",https://www.artrabbit.com/events/falua,img.artrabbit.com/events/falua/images/SIxIodPZ5NXM/350x254/Falua-cropped.jpg,FALUA,"Join us on board Slash Arts gallery houseboat for an exciting celebration of contemporary artworks and music. Opening night: Friday 21st 7:00-9:30pm: find us on Regent's Canal at King’s Cross N1C 4LW Two Portuguese artists use sensations, images and objects collected on Tagus river boat trips, with recorded sounds and images to create paintings, collages, animations, accompagnied at Friday's opening night by Rossana, London-based Portuguese singer-song writer for a live performance at 8pm. "
Exhibition,this package contains the universe. Billy Crosby & Siân Newlove-Drew,21 Jul 2023 – 23 Aug 2023,Calcio,"London, United Kingdom",https://www.artrabbit.com/events/this-package-contains-the-universe-billy-crosby-siân-newlovedrew,img.artrabbit.com/events/this-package-contains-the-universe-billy-crosby-siân-newlovedrew/images/JUQu7zkHnrQS/350x437/poster-copy-V3-FRONT.jpg,this package contains the universe. Billy Crosby & Siân Newlove-Drew,"this package contains the universe
~
Billy Crosby & Siân Newlove-Drew Billy Crosby is a London based artist working across mediums, including painting, sculpture, installation and digital media. He graduated from BA (Hons) Fine Art Painting at Camberwell College of Arts in 2016. From 2019-2022 he co ran the artist run London based space Brockley Gardens with Thomas Greig"
Exhibition,Audible Garden. Jinjoon Lee,21 Jul 2023 – 13 Oct 2023,Korean Cultural Centre UK (KCCUK),"London, United Kingdom",https://www.artrabbit.com/events/audible-garden-jinjoon-lee,img.artrabbit.com/events/audible-garden-jinjoon-lee/images/bwAOx3ynY195/350x133/Jinjoon-Lee-Audible-Garden-Variable-size-Wall-painting-with-Ink-2023.jpg,Audible Garden. Jinjoon Lee,"This summer, the Korean Foundation for International Cultural Exchange (KOFICE) and the Korean Cultural Centre UK (KCCUK) co-present Audible Garden, the solo exhibition of work by new media artist Jinjoon Lee. This summer, the Korean Foundation for International Cultural Exchange (KOFICE) and the Korean Cultural Centre UK (KCCUK) co-present Audible Garden, the solo exhibition of work by new media artist Jinjoon Lee as part of a yearlong celebration of the 140th anniversary of diplomatic relations between the Republic of Korea and the UK. Drawing inspiration from Asian Sansui landscape painting and Korean garden philosophy, Lee has created a multisensory space that constructs a new environment whilst also deciphering the current world we inhabit. Inspirited by Lee’s residency at Hertz lab of the ZKM in Germany, Audible Garden will run from the 21 July - 13 October 2023 at the KCCUK exhibition space."
Exhibition,Origins Creatives 2023,21 Jul 2023 – 23 Jul 2023,The Truman Brewery | Ely's Yard,"London, United Kingdom",https://www.artrabbit.com/events/origins-creatives-2023,img.artrabbit.com/events/origins-creatives-2023/images/fVHkxnVYj2qH/350x196/Origins-Creatives-2023-Media-Image.jpg,Origins Creatives 2023,Welcome to Origins Creatives 2023! UAL Awarding Body’s annual celebration of student achievement.
Exhibition,The Rebellious Room,20 Jul 2023 – 30 Jul 2023,SET Kensington,"London, United Kingdom",https://www.artrabbit.com/events/the-rebellious-room,img.artrabbit.com/events/the-rebellious-room/images/rZW1jUGem9E9/350x437/Artboard-1.jpg,The Rebellious Room,The Rebellious Room | An interactive design exhibition ✨✨ The Rebellious Room | An interactive design exhibition ✨✨
Exhibition,‘Caving’ by DSS,20 Jul 2023 – 23 Jul 2023,Swiss Church in London,"London, United Kingdom",https://www.artrabbit.com/events/caving-by-dss,img.artrabbit.com/events/caving-by-dss/images/eGhMAngYyLPF/350x495/Caving-Poster-A4-724x1024.jpg,‘Caving’ by DSS,"DDS (Elliot Buchanan, Martyn Riley and Benjamin Harrison) are a sound art collective exploring acoustic spatiality. Caving is an investigation into archaeoacoustic histories of resonance and how the relationship between sound and space can allow access to the divine. The sound installation is a negotiation of the acoustic properties of The Swiss Church and its resonant frequencies to create complex harmonies and resonant entanglements."
